module,server_path,server_checksum,server_version,server_installed_state,github_path,github_checksum,github_version,approved_checksum,source_branch,source_commit,dependencies,migration_required,security_status,test_status,classification,disposition,owner
call_center_campaign,/mnt/extra-addons/call_center_campaign,b4ecb2097e088dec5f8a1386dae38f46501dcb5c39e2ba77e50251334d30241a,19.0.5.2.0,installed,custom-addons/call_center_campaign,746787e42525475d2d5c832167d59d2029d0a74b71a8b13c1fc95265090892f0,19.0.5.2.1,746787e42525475d2d5c832167d59d2029d0a74b71a8b13c1fc95265090892f0,feat/cc-compliance-audit,84f80cbc978bc5941836474c6569f87b1c0031d8,call_center_core,YES,REVIEW_REQUIRED,PASS_CURRENT_RUNTIME_SUITE,VERSION_DRIFT,RECONCILE_IN_STAGING,CAMPAIGN
call_center_compliance,/mnt/extra-addons/call_center_compliance,4e04f7458c6d5976ac9a3af2d8e27ff4042f0ab5414e3e98fb3202c95729fd72,19.0.1.0.0,installed,custom-addons/call_center_compliance,c5041814025a09d3c4a84e863dea1420a1d30eeda94a716c66c84b7305333eb0,19.0.1.0.0,c5041814025a09d3c4a84e863dea1420a1d30eeda94a716c66c84b7305333eb0,feat/cc-compliance-audit,3432c1f4a06a44fe200753955a741f0726a0ec31,call_center_lead_validation,NO,SOURCE_CI_PASS,PASS_CURRENT_RUNTIME_SUITE,CONTENT_DRIFT,RECONCILE_IN_STAGING,COMPLIANCE
call_center_core,/mnt/extra-addons/call_center_core,38c484481ea301431ba599accb6c562179f0ec7b6b9418998e40e95567b6a3a0,19.0.2.0.2,installed,custom-addons/call_center_core,756f6e4a2a0a6a74bccdb213e7df81cecd9e0b39009c66ffe26d4ef11d80a592,19.0.2.0.2,756f6e4a2a0a6a74bccdb213e7df81cecd9e0b39009c66ffe26d4ef11d80a592,feat/cc-compliance-audit,3e6c621c58146f4da74772415ed9e780e1c022c3,base;mail;crm;contacts;hr;resource,YES,SOURCE_CI_PASS,PASS_CURRENT_RUNTIME_SUITE,CONTENT_DRIFT,RECONCILE_IN_STAGING,CORE_BUSINESS
call_center_lead_validation,/mnt/extra-addons/call_center_lead_validation,fd8edac28e4a156a101f1fd67ed37b431e61da62b1651b243c85931a3af1a13d,19.0.1.1.0,installed,custom-addons/call_center_lead_validation,37fe755089ed6aa0f1facf6612e0620e4e09f2b4f8bd16e360cd902a240a6caa,19.0.1.1.0,37fe755089ed6aa0f1facf6612e0620e4e09f2b4f8bd16e360cd902a240a6caa,feat/cc-compliance-audit,3432c1f4a06a44fe200753955a741f0726a0ec31,call_center_campaign;phone_validation,NO,SOURCE_CI_PASS,PASS_CURRENT_RUNTIME_SUITE,CONTENT_DRIFT,RECONCILE_IN_STAGING,CRM
call_center_orchestration,/mnt/extra-addons/call_center_orchestration,69bf38d3963f0a352120a6d9416a148eb46b54e9aa275d19f365d253f3b2fddf,19.0.1.0.0,installed,custom-addons/call_center_orchestration,023f35ed55a11c2d27c52cb28faaf1e6cd34d0453ca9fc9bd87d6f5c91148eea,19.0.1.0.0,023f35ed55a11c2d27c52cb28faaf1e6cd34d0453ca9fc9bd87d6f5c91148eea,feat/cc-compliance-audit,3e6c621c58146f4da74772415ed9e780e1c022c3,call_center_core;call_center_campaign;call_center_lead_validation;call_center_compliance,NO,SOURCE_CI_PASS,PASS_CURRENT_RUNTIME_SUITE,CONTENT_DRIFT,RECONCILE_IN_STAGING,INTEGRATION_BOUNDARY
codestra,/mnt/extra-addons/codestra,183c7586f0be5441ed77fbfc485407f973383b7887b97fcf2002ebfb8a6eb983,19.0.1.0.0,installed,custom-addons/codestra,0bfe3d86f2209d2bf815c15947f4252d6a4159a085cf664c04f9cce0c8b18a02,19.0.1.0.0,0bfe3d86f2209d2bf815c15947f4252d6a4159a085cf664c04f9cce0c8b18a02,feat/cc-compliance-audit,3432c1f4a06a44fe200753955a741f0726a0ec31,call_center_orchestration,NO,SOURCE_CI_PASS,PASS_CURRENT_RUNTIME_SUITE,CONTENT_DRIFT,RECONCILE_IN_STAGING,CORE_BUSINESS
codestra_agent_onboarding,,,,absent,custom-addons/codestra_agent_onboarding,8d01cd879a1bb9f018050bafb6cd0c087aa45a41803d01d3217fada4fd35ca53,19.0.1.0.0,8d01cd879a1bb9f018050bafb6cd0c087aa45a41803d01d3217fada4fd35ca53,feat/cc-compliance-audit,5c06e713abf22d34141c5fb82b0f8d3f5d478189,codestra_cc_identity;codestra_cc_workforce;hr;mail,NO,SOURCE_CI_PASS,PASS_CURRENT_RUNTIME_SUITE,GITHUB_ONLY,INSTALL_ONLY_IF_APPROVED,WFM
codestra_ai_agent_assistant,,,,absent,custom-addons/codestra_ai_agent_assistant,b1685e7c925f496a09d28b076be5bf46ce9a004f46213d5f60b93aefdbbddc62,19.0.1.0.0,b1685e7c925f496a09d28b076be5bf46ce9a004f46213d5f60b93aefdbbddc62,feat/cc-compliance-audit,2f85eaa4ed494cfede7dd5657d5f8817de3bae3b,codestra_cc_core;codestra_cc_customer_360;codestra_cc_compliance;codestra_cc_audit;codestra_ai_core;codestra_ai_realtime_assistant;codestra_ai_qualification;codestra_ai_review;mail,NO,SOURCE_CI_PASS,PASS_CURRENT_RUNTIME_SUITE,GITHUB_ONLY,INSTALL_ONLY_IF_APPROVED,AI_ADVISORY
codestra_ai_call_audit,/mnt/extra-addons/codestra_ai_call_audit,fe01454519f93e984fcd3f40147fc3016f20177ab6af3aaf80f889acd0c5608b,19.0.1.0.0,installed,custom-addons/codestra_ai_call_audit,70b2798cecd966f88e2d1ac98e7c4818e413171d0fa13b7f08ce1f2ec5767f38,19.0.1.0.0,70b2798cecd966f88e2d1ac98e7c4818e413171d0fa13b7f08ce1f2ec5767f38,feat/cc-compliance-audit,3432c1f4a06a44fe200753955a741f0726a0ec31,codestra_ai_core,NO,SOURCE_CI_PASS,PASS_CURRENT_RUNTIME_SUITE,CONTENT_DRIFT,RECONCILE_IN_STAGING,AI_ADVISORY
codestra_ai_core,/mnt/extra-addons/codestra_ai_core,da8f751f02507f46390d88fe86a2be1f43f554e0c272929ff09980e4cd4a1058,19.0.1.0.0,installed,custom-addons/codestra_ai_core,7d18fc1e85515bd4d4bdd03c985364c4ed317f392bbe49a66338d1f86e904116,19.0.1.0.0,7d18fc1e85515bd4d4bdd03c985364c4ed317f392bbe49a66338d1f86e904116,feat/cc-compliance-audit,3432c1f4a06a44fe200753955a741f0726a0ec31,call_center_core;call_center_campaign;codestra,NO,SOURCE_CI_PASS,PASS_CURRENT_RUNTIME_SUITE,CONTENT_DRIFT,RECONCILE_IN_STAGING,AI_ADVISORY
