method,path,module,controller,auth,audience,scope,request_model,response_model,tenant_company_binding,campaign_binding,idempotency,rate_limit_expectation,middleware_only,browser_allowed,provider_callback,status
GET,/api/v1/integration/capabilities,call_center_campaign,CodestraIntegrationApiController.capabilities,none+controller_service_identity,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
POST,/api/v1/integration/outbox/claims,call_center_campaign,CodestraIntegrationApiController.claim_outbox,none+controller_service_identity,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
GET,/api/v1/integration/outbox/<string:outbox_id>,call_center_campaign,CodestraIntegrationApiController.read_outbox,none+controller_service_identity,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
POST,/api/v1/integration/outbox/<string:outbox_id>/lease/renew,call_center_campaign,CodestraIntegrationApiController.renew_outbox,none+controller_service_identity,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
POST,/api/v1/integration/outbox/<string:outbox_id>/acknowledgements,call_center_campaign,CodestraIntegrationApiController.acknowledge_outbox,none+controller_service_identity,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
POST,/api/v1/integration/outbox/<string:outbox_id>/failures,call_center_campaign,CodestraIntegrationApiController.fail_outbox,none+controller_service_identity,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
POST,/api/v1/integration/outbox/<string:outbox_id>/release,call_center_campaign,CodestraIntegrationApiController.release_outbox,none+controller_service_identity,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
POST,/api/v1/integration/results,call_center_campaign,CodestraIntegrationApiController.create_result,none+controller_service_identity,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
GET,/api/v1/integration/results/<string:result_public_id>,call_center_campaign,CodestraIntegrationApiController.read_result,none+controller_service_identity,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
GET,/api/v1/integration/results,call_center_campaign,CodestraIntegrationApiController.read_result,none+controller_service_identity,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
