module,technical_name,manifest_version,tree_sha,source_branch,source_commit,dependencies,model_owner,views,security_files,migrations,tests,external_api,scheduled_jobs,outbox,inbox,provider_effect,live_effect_flag,status,ownership
call_center_campaign,call_center_campaign,19.0.5.2.1,062b168d44f17329c1071f70ed8d9faf643ef1bc,feat/cc-compliance-audit,84f80cbc978bc5941836474c6569f87b1c0031d8,call_center_core,call.center.campaign;call.center.campaign.country.policy;call.center.campaign.mapping;call.center.pipeline;call.center.queue;call.center.script;call.center.skill.requirement;call.center.team;codestra.disposition;codestra.integration.callback.nonce;codestra.integration.result.inbox;codestra.integration.trace;codestra.runtime.integration.outbox,views/menus.xml;views/foundation_views.xml;views/script_views.xml;views/integration_trace_views.xml;views/crm_lead_views.xml;views/campaign_views.xml,security/record_rules.xml;security/ir.model.access.csv,5,7,YES,YES,YES,YES,YES,NOT_DETECTED,APPROVED_CANDIDATE,CAMPAIGN
call_center_compliance,call_center_compliance,19.0.1.0.0,85610757c8f9bd140611b6ca99e435283b803e63,feat/cc-compliance-audit,3432c1f4a06a44fe200753955a741f0726a0ec31,call_center_lead_validation,call.center.compliance.rule;call.center.consent;call.center.suppression,views/lead_views.xml;views/compliance_views.xml;views/menus.xml,security/record_rules.xml;security/ir.model.access.csv,0,1,NO,NO,NO,NO,NO,NOT_DETECTED,APPROVED_CANDIDATE,COMPLIANCE
call_center_core,call_center_core,19.0.2.0.2,35a16bc1b7e107c3ba7f7087054ee86a7b26c326,feat/cc-compliance-audit,3e6c621c58146f4da74772415ed9e780e1c022c3,base;mail;crm;contacts;hr;resource,call.center.agent.skill;call.center.audit.event;call.center.branch;call.center.business.unit;call.center.business.unit.mixin;call.center.calendar.exception;call.center.calling.hours.decision;call.center.calling.hours.policy;call.center.canonical.status;call.center.department;call.center.feature.flag;call.center.operating.period;call.center.phone.format;call.center.scoped.audit.mixin;call.center.skill;call.center.skill.category;call.center.status.transition;call.center.status.transition.audit,views/menus.xml;views/foundation_views.xml;views/audit_views.xml;views/crm_lead_views.xml;views/res_users_views.xml;views/business_unit_views.xml;views/res_partner_views.xml,security/record_rules.xml;security/ir.model.access.csv;security/groups.xml,1,2,NO,NO,NO,NO,YES,PRESENT,APPROVED_CANDIDATE,CORE_BUSINESS
call_center_lead_validation,call_center_lead_validation,19.0.1.1.0,a401fa2f26c86b585c1826aa6c434d4876d03c09,feat/cc-compliance-audit,3432c1f4a06a44fe200753955a741f0726a0ec31,call_center_campaign;phone_validation,call.center.duplicate.candidate,views/lead_views.xml;views/menus.xml;views/duplicate_views.xml,security/record_rules.xml;security/ir.model.access.csv,0,1,NO,NO,NO,NO,YES,NOT_DETECTED,APPROVED_CANDIDATE,CRM
call_center_orchestration,call_center_orchestration,19.0.1.0.0,962b1f8aa1854b6a7a18b901a11bb4382ba37b4e,feat/cc-compliance-audit,3e6c621c58146f4da74772415ed9e780e1c022c3,call_center_core;call_center_campaign;call_center_lead_validation;call_center_compliance,call.center.callback.notification;call.center.callback.task;call.center.credential.reference;call.center.lead.import.batch;call.center.lead.import.row;call.center.lead.mapping;call.center.lead.validation.result;call.center.provisioning.request,views/orchestration_views.xml,security/record_rules.xml;security/ir.model.access.csv,0,1,NO,YES,NO,NO,YES,NOT_DETECTED,APPROVED_CANDIDATE,INTEGRATION_BOUNDARY
codestra,codestra,19.0.1.0.0,09f56f84556c642f1fee4027b7e9f22db3623e7f,feat/cc-compliance-audit,3432c1f4a06a44fe200753955a741f0726a0ec31,call_center_orchestration,,,security/groups.xml,0,0,NO,NO,NO,NO,NO,NOT_DETECTED,APPROVED_CANDIDATE,CORE_BUSINESS
codestra_agent_onboarding,codestra_agent_onboarding,19.0.1.0.0,a5c798e704a4d273280c1097847b948195d1fe51,feat/cc-compliance-audit,5c06e713abf22d34141c5fb82b0f8d3f5d478189,codestra_cc_identity;codestra_cc_workforce;hr;mail,codestra.agent.onboarding,views/onboarding_views.xml,security/record_rules.xml;security/ir.model.access.csv,0,1,NO,NO,NO,NO,NO,NOT_DETECTED,APPROVED_CANDIDATE,WFM
codestra_ai_agent_assistant,codestra_ai_agent_assistant,19.0.1.0.0,8abfc5ce1b27f0e060340e3fe8c757fdccb5a298,feat/cc-compliance-audit,2f85eaa4ed494cfede7dd5657d5f8817de3bae3b,codestra_cc_core;codestra_cc_customer_360;codestra_cc_compliance;codestra_cc_audit;codestra_ai_core;codestra_ai_realtime_assistant;codestra_ai_qualification;codestra_ai_review;mail,codestra.ai.assistant.draft,views/assistant_views.xml,security/record_rules.xml;security/ir.model.access.csv;security/groups.xml,0,1,NO,NO,NO,NO,YES,NOT_DETECTED,APPROVED_CANDIDATE,AI_ADVISORY
codestra_ai_call_audit,codestra_ai_call_audit,19.0.1.0.0,8d21bf867e4b2eca6158d36bff85e4a1308f6c35,feat/cc-compliance-audit,3432c1f4a06a44fe200753955a741f0726a0ec31,codestra_ai_core,,,,0,0,NO,NO,NO,NO,NO,NOT_DETECTED,APPROVED_CANDIDATE,AI_ADVISORY
codestra_ai_core,codestra_ai_core,19.0.1.0.0,23594634edbe6a9a6c11dc8f3b8356ae9a838b78,feat/cc-compliance-audit,3432c1f4a06a44fe200753955a741f0726a0ec31,call_center_core;call_center_campaign;codestra,codestra.ai.audit;codestra.ai.prompt.template;codestra.ai.provider;codestra.ai.task.type,,security/ir.model.access.csv,0,0,NO,NO,NO,NO,NO,PRESENT,APPROVED_CANDIDATE,AI_ADVISORY
